raw_country,standard_country
portugal,portugal
espanha,spain
Espanha,spain
espana,spain
estados unidos,united_states
reino unido,united_kingdom
frança,france
franca,france
alemanha,germany
itália,italy
italia,italy
brasil,brazil
canadá,canada
canada,canada
bélgica,belgium
belgica,belgium
suíça,switzerland
suica,switzerland
países baixos,netherlands
paises baixos (holanda),netherlands
austrália,australia
australia,australia
irlanda,ireland
polónia,poland
"polonia, republica da",poland
suécia,sweden
suecia,sweden
israel,israel
dinamarca,denmark
roménia,romania
romenia,romania
federação russa,russia
"russia, federacao da",russia
Áustria,austria
austria,austria
Austria,austria
noruega,norway
norway,norway
argentina,argentina
china,china
"china, republica popular",china
grécia,greece
grecia,greece
ucrânia,ukraine
ucrania,ukraine
república checa,czech_republic
"tcheca, republica",czech_republic
finlândia,finland
finlandia,finland
turquia,turkey
nova zelândia,new_zealand
nova zelandia,new_zealand
méxico,mexico
mexico,mexico
luxemburgo,luxembourg
hungria,hungary
"hungria, republica da",hungary
japão,japan
japao,japan
colômbia,colombia
colombia,colombia
filipinas,philippines
chile,chile
África do sul,south_africa
áfrica do sul,south_africa
africa do sul,south_africa
letónia,latvia
"letonia, republica da",latvia
bielorússia,belarus
"belarus, republica da",belarus
coreia,south_korea
"coreia (do sul), republica da",south_korea
Índia,india
índia,india
india,india
eslováquia,slovakia
"eslovaca, republica",slovakia
islândia,iceland
islandia,iceland
lituânia,lithuania
"lituania, republica da",lithuania
emirados árabes unidos,united_arab_emirates
emirados arabes unidos,united_arab_emirates
estónia,estonia
"estonia, republica da",estonia
malta,malta
angola,angola
bulgária,bulgaria
"bulgaria, republica da",bulgaria
uruguai,uruguay
malásia,malaysia
malasia,malaysia
singapura,singapore
cingapura,singapore
hong kong,hong_kong
peru,peru
eslovénia,slovenia
"eslovenia, republica da",slovenia
mónaco,monaco
monaco,monaco
taiwan,taiwan
formosa (taiwan),taiwan
croácia,croatia
croacia (republica da),croatia
indonésia,indonesia
indonesia,indonesia
moçambique,mozambique
mocambique,mozambique
nigéria,nigeria
nigeria,nigeria
chipre,cyprus
equador,ecuador
geórgia,georgia
"georgia, republica da",georgia
paquistão,pakistan
paquistao,pakistan
cabo verde,cape_verde
"cabo verde, republica de",cape_verde
tunísia,tunisia
tunisia,tunisia
egipto,egypt
egito,egypt
maurícias,mauritius
mauricio,mauritius
vietname,vietnam
vietna,vietnam
arménia,armenia
"armenia, republica da",armenia
servia,serbia
puerto rico,puerto_rico
porto rico,puerto_rico
líbano,lebanon
libano,lebanon
venezuela,venezuela
panamá,panama
panama,panama
bangladesh,bangladesh
argélia,algeria
argelia,algeria
bósnia-herzegóvina,bosnia_and_herzegovina
bosnia-herzegovina (republica da),bosnia_and_herzegovina
irão,iran
"ira, republica islamica do",iran
guiné-bissáu,guinea_bissau
guine-bissau,guinea_bissau
guatemala,guatemala
el salvador,el_salvador
república dominicana,dominican_republic
republica dominicana,dominican_republic
kuwait,kuwait
granada,grenada
cazaquistão,kazakhstan
"cazaquistao, republica do",kazakhstan
montenegro,montenegro
qatar,qatar
catar,qatar
cuba,cuba
azerbaijão,azerbaijan
"azerbaijao, republica do",azerbaijan
nepal,nepal
liechtenstein,liechtenstein
oman,oman
oma,oman
jordânia,jordan
jordania,jordan
sri lanka,sri_lanka
"coreia (do norte), rep.pop.democratica",north_korea
"coreia, r. p. d.",north_korea
macedónia,north_macedonia
quénia,kenya
quenia,kenya
ruanda,rwanda
barein,bahrain
"bahrein, ilhas",bahrain
albânia,albania
"albania, republica da",albania
jersey,jersey
reunion,reunion
gibraltar,gibraltar
kosovo,kosovo
macau,macau
myanmar,myanmar
mianmar (birmania),myanmar
quirgistão,kyrgyzstan
moldávia,moldova
"moldavia, republica da",moldova
marrocos,morocco
haiti,haiti
san marino,san_marino
turcomenistão,turkmenistan
trinidad e tobago,trinidad_and_tobago
trinidade e tobago,trinidad_and_tobago
uzbequistão,uzbekistan
etiópia,ethiopia
sudão,sudan
zimbabwe,zimbabwe
afeganistão,afghanistan
afeganistao,afghanistan
bahamas,bahamas
"bahamas, ilhas",bahamas
isle of man,isle_of_man
guernsey,guernsey
tanzânia,tanzania
tanzania,tanzania
senegal,senegal
martinique,martinique
timor-leste,timor_leste
aruba,aruba
antigua e barbuda,antigua_and_barbuda
antígua e barbuda,antigua_and_barbuda
"tadjiquistao, republica do",tajikistan
guadeloupe,guadeloupe
saint kitts and nevis,saint_kitts_and_nevis
saint kitts e nevis,saint_kitts_and_nevis
french guiana,french_guiana
república centro-africana,central_african_republic
republica centro-africana,central_african_republic
virgin islands (u.s.),us_virgin_islands
belize,belize
síria,syria
lesoto,lesotho
tailândia,thailand
tailandia,thailand
"cayman, ilhas",cayman_islands
ilhas caimão,cayman_islands
eritreia,eritrea
arábia sautida,saudi_arabia
arabia sautida,saudi_arabia
nicaragua,nicaragua
ghana,ghana
togo,togo
libéria,liberia
costa rica,costa_rica
costa do marfim,ivory_coast
república democrática do congo,democratic_republic_of_the_congo
paraguai,paraguay
nicarágua,nicaragua
camarões,cameroon
emirados Árabes unidos,united_arab_emirates
arábia saudita,saudi_arabia
namíbia,namibia
tadjaquistão,tajikistan
santa lúcia,saint_lucia
iraque,iraq
macau,macao
