raw_source,standard_source
"FVO Travel",fvo_travel
"TRAVELSTORE - PRESTAÇÃO DE SERVIÇOS DE VIAGENS",travelstore
"Giranostra - Tours & Travel",giranostra
"The SmartFlyer Inc",smartflyer
"Ana Sofia Correia LDA - The Boutique Traveler",the_boutique_traveler
"Landescape Walks",landescape_walks
"Romy Viagens Ltda",romy_viagens
"Webbeds FZ-LLC ",webbeds
"Teresa Perez Tours",teresa_perez_tours
"Ascot Travel",ascot_travel
"Narrativa Traçada, lda",narrativa_tracada
"The Spanish Touch",spanish_touch
"Alma Moura Lisbon Residences",alma_moura_lisbon_residences
"Largay Travel",larga_travel
"Travel Simplicity LLC",travel_simplicity
"PAG Serviços Golfs, Lda",pag_servicos_golf
"NOS Corporate Center, S.A",nos_corporate_center
"Dawn Foods B. V.",down_foods
"BPES, S.A.- Sucursal em Portugal (Em Liquidação)",bpes
"HostelWorld",hostel_world
"Excelência de Portugal",excelencia_de_portugal
"CITUR S.A. ",citur
"Viagens Marranita, Summerspecies - Travel Unipessoal Lda",viagens_marranita
"Banco Santander Totta, SA",banco_santanter
"TUI SPAIN SLU",tui_spain
"Lounge II Luxury - Agência de Viagens e Turismo, Lda.",lounge_ii_luxury
"Geotoura GmbH",geotoura_gmbh
"Voetur Turismo e Representações Lda.",voetur_turismo
"COLOUR TRAVEL CONSULTANTS",colour_travel
"Município de Setúbal",municipio_de_setubal
"Mi Mundo Travel Planner, SL",mi_mundo_planner
"Tuscany Tours - Small Group Tours and  Independent Travel Planning",tuscany_tours
"Top Atlantico DMC",top_atlantico
"VIVA SPRL srl",viva
"ThinkPR",thinkpr
"Tailored Experiences S.L.",tailored_experiences
"Mercedes-Benz Portugal, SA",mercedes_benz
"Letango Consulting LLC DBA Tours",letango_tours
"Tropical Piramyd",tropical_piramyd
"In Lounge Luxury Destination Travel Consulting",in_lounge_luxury
"Agena Voyages",agena_voyages
"Top Tours GmbH",top_tours
"SYNXIS",synxis
"Stubborn Mule Travel",stubborn_mule
"Persona Grata",persona_grata
