raw_tariff_plan,standard_tariff_plan
*,unknown_rate
rack rate,rack_rate
traveller made,travel_agent_rate
bar i (minstay 3 nights (-15% canais) nrf,non_refundable_discount
teresa perez tours,travel_agent_rate
retreat 6 dias,retreat_package
retreat 4 dias,retreat_package
book 3 nights pay 2,stay_pay_offer
slh suite offer – 20%,slh_promotion
world of hyatt free night promotion,hyatt_reward_rate
slh last minute rate,last_minute_rate
oferta reserva antecipada,early_booking_rate
bar i (14 days rls (-5% canais) nrf,non_refundable_discount
bar & promo i (-50% ocupação),promotional_rate
estadia 2 noites - nrf,non_refundable_rate
hilton honors best available rate,hilton_member_rate
198.75,unknown_rate
1 noite com jantar,package_with_dinner
website nrf 5d rls,non_refundable_rate
slh travel industry rate,travel_industry_rate
bar i (-3% ebd -10% 45 days rls/directos) nrf,non_refundable_discount
bar i (-3% -5%- 14 days  rls directos) nrf,non_refundable_discount
world of hyatt best available rate,hyatt_member_rate
website min stay 4n nrf,minimum_stay_rate
tarifa especial 2nts villas,villa_special_rate
bar i (promo - 45% - 3% até 20% ocup.) directos,promotional_rate
bar nrf,non_refundable_rate
estadia 3 noites paga 2,stay_pay_offer
tarifa especial 4nts villas,villa_special_rate
capital one lifestyle hotel collection,partner_rate
estadia mínima 4 noites - não reembolsável,minimum_stay_rate
ta increased commission rate,travel_agent_rate
caractere,unknown_rate
não reembolsável - 5 dias release,non_refundable_rate
hilton honors standard room reward,hilton_reward_rate
ebd não reembolsável - 5 dias release,early_booking_rate
best available rate - flexivel,best_available_rate
world of hyatt 10% off,hyatt_member_rate
slh within net rate,slh_member_rate
tour operators / travel agency's,travel_agent_rate
yoga & arts retreat,retreat_package
slh within,slh_member_rate
slh simple pleasures - 2nts,slh_promotion
bar,best_available_rate
website tarifa 1 semana,long_stay_rate
world of hyatt 2nts,hyatt_member_rate
bar i (-3% - minstay3 -15% directos),minimum_stay_rate
early booking 45 dias,early_booking_rate
estadia 4 noites - nrf,non_refundable_rate
hilton non-members best available rate,best_available_rate
best available rate,best_available_rate
bar i (-3% -5%- 14 days rls directos) nrf,non_refundable_discount
oferta especial website,website_promotion
programa de fim de ano 2019,seasonal_package
hilton honors premium room reward 0%,hilton_reward_rate
airbnb,ota_rate
tarifa early booking 45 dias,early_booking_rate
early booking offer - 20%,early_booking_rate
slh bonus rate,slh_member_rate
verychic,partner_rate
casamento,event_package
campanha especial,promotional_rate
website early booking 45d rls,early_booking_rate
estadia min 4 noites - não reembolsável,minimum_stay_rate
air canada aeroplan reward,airline_reward_rate
world of hyatt 20% off suites,hyatt_member_rate
bar i (eb/45 days rls ( - 10% canais) nrf,early_booking_rate
website special,website_promotion
website tarifa promocional,website_promotion
tarifa especial 7nts villas,villa_special_rate
slh club rate,slh_member_rate
world of hyatt free night rate,hyatt_reward_rate
hilton honors advance purchase,early_booking_rate
bar i (- 3% (-50% ocp) (directos),promotional_rate
